"Type of Meal","Rural or Self-Prep","All Other Site Types"
"Breakfast","$1.9800","$1.9425"
"Lunch or Supper","$
        
        
      3.4700","$3.4125"
"Supplement","$
        
        
      0.8200","$0.8000"
